FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
633,368,622,17,0,0,correct
634,389,626,17,0,0,correct
634,361,631,16,0,0,correct
636,343,638,17,0,0,correct
635,322,637,16,1,0,correct
638,352,636,17,0,0,correct
638,351,634,16,0,0,correct
639,362,635,16,0,0,correct
638,363,638,16,1,0,correct
638,357,638,17,0,0,correct
638,358,635,16,0,0,correct
638,339,627,16,0,0,correct
637,337,626,16,0,0,correct
636,357,624,16,1,0,correct
636,370,626,16,0,0,correct
637,371,627,15,0,0,correct
636,373,628,16,0,0,correct
636,365,628,16,0,0,correct
637,355,629,15,1,0,correct
637,341,630,16,0,0,correct
637,335,631,16,0,0,correct
634,318,629,16,0,0,correct
636,355,630,16,0,0,correct
637,366,630,16,0,0,correct
637,363,630,17,0,0,correct
636,357,631,16,0,0,correct
25,269,603,161,237,2,correct
50,270,603,160,234,3,correct
46,272,601,160,220,2,correct
45,270,603,160,214,2,correct
50,272,607,160,210,2,correct
49,270,601,159,209,2,correct
56,296,603,157,201,2,correct
62,286,609,159,215,2,correct
63,287,599,158,215,2,correct
64,261,599,157,215,1,correct
66,256,599,157,216,1,correct
63,269,598,158,216,1,correct
71,270,605,158,215,1,correct
70,269,604,158,214,1,correct
67,276,604,157,213,1,correct
71,252,605,156,216,1,correct
75,250,603,156,216,1,correct
80,246,594,157,217,2,correct
100,249,598,156,217,1,correct
113,246,594,155,216,2,correct
121,242,590,156,216,2,correct
149,251,596,159,219,1,correct
141,244,606,159,219,1,correct
133,248,603,158,219,1,correct
127,258,603,159,218,1,correct
96,255,598,162,212,1,correct
84,246,607,164,210,2,correct
122,243,639,165,211,1,correct
113,254,623,165,210,2,correct
152,236,620,160,201,1,correct
157,241,609,161,224,2,correct
143,240,556,155,217,2,correct
154,235,594,158,213,4,correct
119,227,579,157,196,3,correct
131,235,572,157,206,4,correct
126,238,576,157,209,4,correct
139,243,582,157,210,4,correct
157,247,582,156,213,4,correct
171,252,575,151,214,4,correct
